,Homeownership Rate in the United States,Monthly Supply of Houses in the United States,US Population data,Median Sales Price of Houses Sold,GDP,Natural Rate of Unemployment,Consumer Price Index,House Price Index,10-Year Treasury
2010-12-31,66.5,7.8,310674.3333333333,224300.0,15240.843,5.770941881000001,222.10733333333334,324.07,2.3912903225806454
2011-03-31,66.4,7.533333333333332,311176.3333333333,226900.0,15285.828,5.804344037999999,223.15666666666667,315.11,2.7637096774193535
2011-06-30,65.9,6.633333333333333,311684.0,228100.0,15496.189,5.822588923,224.19966666666667,309.59,2.63984126984127
2011-09-30,66.3,6.5,312292.6666666667,223500.0,15591.85,5.8306052610000005,225.73266666666666,311.92,2.1350000000000002
2011-12-31,66.0,5.666666666666667,312887.0,221100.0,15796.46,5.847203348,226.93666666666664,313.34,1.7831147540983603
2012-03-31,65.4,5.0,313385.3333333333,238400.0,16019.758,5.815009226,228.12966666666668,310.03,1.7504838709677422
2012-06-30,65.5,4.800000000000001,313888.3333333333,238700.0,16152.257,5.781262443999999,229.25066666666666,308.66,1.5362500000000003
2012-09-30,65.5,4.566666666666666,314488.0,248800.0,16257.151,5.712411406,230.28733333333332,312.76,1.3834920634920633
2012-12-31,65.4,4.666666666666667,315085.0,251700.0,16358.863,5.656054951000001,231.3596666666667,315.19,1.439508196721312
2013-03-31,65.0,4.1000000000000005,315539.0,258400.0,16569.591,5.516896662000001,232.53066666666666,316.8,1.6881666666666675
2013-06-30,65.0,4.366666666666666,316019.6666666667,268100.0,16637.926,5.370586943999999,233.05933333333334,321.68,1.7160937499999998
2013-09-30,65.3,5.466666666666666,316626.0,264800.0,16848.748,5.265987002,234.30533333333332,326.46,2.340625
2013-12-31,65.2,5.033333333333334,317244.0,273600.0,17083.137,5.150994354,235.34633333333332,329.13,2.4169354838709687
2014-03-31,64.8,5.333333333333333,317760.0,275200.0,17104.555,5.045110253,236.25699999999998,331.94,2.3906557377049187
2014-06-30,64.7,5.533333333333334,318287.0,288000.0,17432.909,4.956619687,237.47933333333333,338.37,2.2014285714285715
2014-09-30,64.4,5.666666666666667,318920.6666666667,281000.0,17721.657,4.887757383,238.462,343.25,1.9845312499999999
2014-12-31,64.0,5.366666666666667,319556.6666666667,298900.0,17849.912,4.838887231,239.41099999999997,346.08,1.7393548387096776
2015-03-31,63.7,4.8,320057.3333333333,289200.0,18003.399,4.810394419,240.246,349.81,1.3642622950819672
2015-06-30,63.4,5.1000000000000005,320577.6666666667,289100.0,18223.577,4.782686752,241.69933333333333,355.57,1.55171875
2015-09-30,63.7,5.366666666666667,321205.0,295800.0,18347.425,4.756195061000001,242.89933333333332,360.74,1.530625
2015-12-31,63.8,5.3999999999999995,321831.6666666667,302500.0,18378.803,4.731372,244.18533333333335,363.72,1.3522580645161288
2016-03-31,63.5,5.533333333333334,322354.0,299800.0,18470.156,4.708691,245.45933333333335,367.1,1.0780327868852457
2016-06-30,62.9,5.133333333333333,322871.0,306000.0,18656.207,4.688638,247.076,374.0,0.9789062499999998
2016-09-30,63.5,4.8999999999999995,323472.6666666667,303800.0,18821.359,4.671323,248.3646666666667,380.67,0.8362499999999997
2016-12-31,63.7,5.266666666666667,324048.0,310900.0,19032.58,4.656598000000001,249.51433333333333,383.71,1.1291803278688528
2017-03-31,63.6,5.133333333333334,324496.0,313100.0,19237.435,4.644163,250.73366666666666,386.7,1.2022580645161292
2017-06-30,63.7,5.3,324948.0,318200.0,19379.232,4.63363,251.52066666666667,395.56,0.9633333333333334
2017-09-30,63.9,5.8999999999999995,325475.0,320500.0,19617.288,4.624581,252.561,401.76,0.8787301587301589
2017-12-31,64.2,5.2,325962.6666666667,337900.0,19937.963,4.616598000000001,253.86233333333334,405.18,0.6770967741935483
2018-03-31,64.2,5.466666666666666,326325.3333333333,331800.0,20242.215,4.6092889999999995,255.532,410.95,0.5980327868852459
2018-06-30,64.3,5.666666666666667,326703.0,315600.0,20552.653,4.602304,257.11566666666664,418.59,0.4435937500000002
2018-09-30,64.4,6.533333333333332,327166.6666666667,330900.0,20742.723,4.595352,258.1813333333333,423.64,0.2579365079365081
2018-12-31,64.8,7.033333333333334,327602.0,322800.0,20909.853,4.588214,259.4256666666667,425.2,0.23836065573770493
2019-03-31,64.2,6.066666666666666,327923.3333333333,313000.0,21115.309,4.559107,260.82666666666665,429.87,0.16786885245901645
2019-06-30,64.1,5.966666666666666,328270.3333333333,322500.0,21329.877,4.548072,262.517,437.03,0.21095238095238095
2019-09-30,64.8,5.833333333333333,328729.3333333333,318400.0,21540.325,4.536518,264.1233333333334,442.65,0.11203124999999996
2019-12-31,65.1,5.433333333333334,329186.3333333333,327100.0,21747.394,4.524682,265.368,446.64,0.2008064516129032
2020-03-31,65.3,5.566666666666666,329529.3333333333,329000.0,21561.139,4.512876,266.6673333333333,451.67,0.28354838709677416
2020-06-30,67.9,5.3999999999999995,329897.3333333333,322600.0,19520.114,4.501435,265.9183333333333,456.22,0.49396825396825395
2020-09-30,67.4,3.533333333333333,330367.3333333333,337500.0,21170.252,4.490658,268.51033333333334,464.31,0.5096874999999998
2020-12-31,65.8,3.766666666666667,330815.0,358700.0,21494.731,4.4807559999999995,269.70300000000003,474.06,0.7148387096774195
2021-03-31,65.6,4.1000000000000005,331011.0,347500.0,22061.503,4.471833,270.5126666666667,484.32,1.2037704918032783
